iter	Passed	Remaining
540	4454	3779
541	4463	3772
542	4472	3764
543	4482	3757
544	4490	3748
545	4501	3742
546	4508	3734
547	4515	3724
548	4522	3715
549	4529	3705
550	4535	3695
551	4544	3688
552	4552	3679
553	4559	3670
554	4564	3660
555	4576	3654
556	4584	3646
557	4593	3638
558	4601	3630
559	4609	3621
560	4617	3613
561	4623	3603
562	4629	3593
563	4635	3583
564	4640	3572
565	4648	3564
566	4656	3555
567	4665	3548
568	4674	3540
569	4683	3533
570	4694	3527
571	4702	3518
572	4709	3509
573	4716	3500
574	4726	3493
575	4733	3484
576	4740	3475
577	4746	3465
578	4755	3457
579	4762	3448
580	4771	3441
581	4779	3433
582	4790	3426
583	4798	3417
584	4806	3409
585	4812	3400
586	4821	3392
587	4828	3383
588	4838	3375
589	4846	3367
590	4868	3369
591	4885	3366
592	4900	3363
593	4909	3355
594	4916	3346
595	4926	3339
596	4933	3330
597	4944	3323
598	4953	3316
599	4964	3309
600	4973	3302
601	4983	3294
602	4993	3287
603	5000	3278
604	5007	3269
605	5012	3259
606	5019	3249
607	5024	3239
608	5031	3230
609	5043	3224
610	5053	3217
611	5060	3208
612	5067	3198
613	5073	3189
614	5080	3180
615	5086	3171
616	5095	3163
617	5104	3154
618	5112	3146
619	5118	3136
620	5125	3128
621	5130	3118
622	5138	3109
623	5144	3099
624	5149	3089
625	5160	3082
626	5172	3077
627	5182	3069
628	5192	3062
629	5200	3054
630	5208	3046
631	5216	3037
632	5224	3029
633	5231	3020
634	5237	3010
635	5242	3000
636	5247	2990
637	5253	2980
638	5259	2971
639	5270	2964
640	5278	2956
641	5288	2948
642	5295	2940
643	5303	2931
644	5311	2923
645	5318	2914
646	5326	2905
647	5333	2897
648	5342	2889
649	5350	2880
650	5357	2872
651	5363	2862
652	5372	2854
653	5380	2846
654	5389	2838
655	5395	2829
656	5401	2820
657	5407	2810
658	5412	2800
659	5418	2791
660	5423	2781
661	5428	2771
662	5436	2763
663	5441	2753
664	5450	2745
665	5458	2737
666	5467	2729
667	5475	2721
668	5485	2713
669	5493	2705
670	5503	2698
671	5512	2690
672	5519	2681
673	5527	2673
674	5533	2664
675	5541	2655
676	5550	2648
677	5559	2640
678	5565	2631
679	5571	2622
680	5578	2613
681	5584	2603
682	5591	2594
683	5598	2586
684	5607	2578
685	5614	2569
686	5622	2561
687	5627	2552
688	5633	2543
689	5641	2534
690	5648	2526
691	5654	2516
692	5660	2507
693	5673	2501
694	5682	2493
695	5688	2484
696	5696	2476
697	5703	2467
698	5709	2458
699	5715	2449
700	5721	2440
701	5729	2432
702	5737	2423
703	5746	2415
704	5752	2407
705	5758	2398
706	5766	2389
707	5773	2381
708	5782	2373
709	5793	2366
710	5803	2358
711	5812	2351
712	5822	2343
713	5829	2334
714	5837	2326
715	5843	2317
716	5853	2310
717	5861	2302
718	5869	2293
719	5876	2285
720	5886	2277
721	5895	2270
722	5904	2262
723	5913	2254
724	5919	2245
725	5925	2236
726	5931	2227
727	5938	2218
728	5945	2210
729	5950	2200
730	5962	2194
731	5971	2186
732	5978	2177
733	5985	2169
734	5992	2160
735	5997	2151
736	6002	2141
737	6006	2132
738	6015	2124
739	6024	2116
740	6031	2108
741	6039	2099
742	6049	2092
743	6059	2084
744	6068	2077
745	6076	2068
746	6083	2060
747	6089	2051
748	6096	2042
749	6105	2035
750	6114	2027
751	6121	2018
752	6128	2010
753	6134	2001
754	6143	1993
755	6151	1985
756	6159	1977
757	6165	1968
758	6175	1960
759	6184	1953
760	6194	1945
761	6201	1937
762	6211	1929
763	6221	1921
764	6230	1913
765	6238	1905
766	6244	1896
767	6253	1889
768	6258	1879
769	6264	1871
770	6273	1863
771	6282	1855
772	6291	1847
773	6298	1839
774	6305	1830
775	6311	1821
776	6319	1813
777	6324	1804
778	6332	1796
779	6339	1788
780	6347	1779
781	6354	1771
782	6362	1763
783	6370	1755
784	6379	1747
785	6388	1739
786	6396	1731
787	6404	1722
788	6411	1714
789	6419	1706
790	6425	1697
791	6432	1689
792	6437	1680
793	6442	1671
794	6448	1662
795	6454	1654
796	6460	1645
797	6468	1637
798	6473	1628
799	6484	1621
800	6493	1613
801	6503	1605
802	6513	1597
803	6520	1589
804	6528	1581
805	6537	1573
806	6547	1565
807	6556	1557
808	6564	1549
809	6574	1542
810	6583	1534
811	6592	1526
812	6600	1518
813	6610	1510
814	6623	1503
815	6632	1495
816	6639	1487
817	6646	1478
818	6655	1470
819	6659	1461
820	6669	1454
821	6677	1446
822	6686	1437
823	6694	1429
824	6703	1421
825	6711	1413
826	6717	1405
827	6722	1396
828	6728	1387
829	6733	1379
830	6741	1370
831	6751	1363
832	6760	1355
833	6769	1347
834	6780	1339
835	6789	1331
836	6797	1323
837	6804	1315
838	6811	1307
839	6816	1298
840	6824	1290
841	6834	1282
842	6842	1274
843	6850	1266
844	6857	1257
845	6864	1249
846	6874	1241
847	6882	1233
848	6891	1225
849	6901	1217
850	6909	1209
851	6917	1201
852	6923	1193
853	6931	1185
854	6937	1176
855	6947	1168
856	6955	1160
857	6963	1152
858	6968	1143
859	6975	1135
860	6982	1127
861	6990	1119
862	6999	1111
863	7008	1103
864	7016	1094
865	7024	1086
866	7032	1078
867	7042	1070
868	7050	1062
869	7058	1054
870	7066	1046
871	7074	1038
872	7080	1029
873	7088	1021
874	7095	1013
875	7105	1005
876	7114	997
877	7122	989
878	7129	981
879	7135	973
880	7140	964
881	7145	955
882	7152	947
883	7157	939
884	7163	930
885	7168	922
886	7176	914
887	7193	907
888	7203	899
889	7215	891
890	7224	883
891	7233	875
892	7242	867
893	7249	859
894	7257	851
895	7261	842
896	7269	834
897	7277	826
898	7285	818
899	7291	810
900	7302	802
901	7309	794
902	7317	786
903	7324	777
904	7334	769
905	7341	761
906	7348	753
907	7354	745
908	7362	737
909	7372	729
910	7382	721
911	7391	713
912	7398	705
913	7405	696
914	7416	688
915	7425	680
916	7432	672
917	7441	664
918	7447	656
919	7453	648
920	7459	639
921	7466	631
922	7474	623
923	7482	615
924	7488	607
925	7493	598
926	7500	590
927	7505	582
928	7511	574
929	7519	565
930	7527	557
931	7536	549
932	7542	541
933	7551	533
934	7560	525
935	7570	517
936	7578	509
937	7587	501
938	7596	493
939	7608	485
940	7617	477
941	7627	469
942	7636	461
943	7646	453
944	7656	445
945	7667	437
946	7678	429
947	7686	421
948	7695	413
949	7703	405
950	7710	397
951	7716	389
952	7728	381
953	7737	373
954	7745	364
955	7753	356
956	7759	348
957	7768	340
958	7776	332
959	7784	324
960	7792	316
961	7800	308
962	7808	300
963	7816	291
964	7824	283
965	7829	275
966	7835	267
967	7840	259
968	7846	251
969	7857	243
970	7866	234
971	7874	226
972	7880	218
973	7891	210
974	7898	202
975	7909	194
976	7918	186
977	7927	178
978	7936	170
979	7945	162
980	7954	154
981	7962	145
982	7971	137
983	7980	129
984	7989	121
985	8000	113
986	8009	105
987	8017	97
988	8024	89
989	8032	81
990	8039	73
991	8046	64
992	8054	56
993	8060	48
994	8066	40
995	8073	32
996	8078	24
997	8085	16
998	8094	8
999	8101	0
